mittID,siteName,siteDetail,permit_year,HAV,epifaunalSubstrate,poolSubstrate,poolVar,sedDep,flowStatus,channelAlter,sinuosity,bankStabilityL,bankStabilityR,vegProtectL,vegProtectR,riparianWidthL,riparianWidthR,bankStability,vegProtect,riparianWidth
unknown1-ICGOBrien Birch River,IP 10,pre-existing,0,121,13,16,10,15,15,17,10,1,8,2,8,3,3,9,10,6
2002-01114-1 Sugartree Branch (westridge 2),HAV1,spring,2,101,13,6,5,9,15,16,6,2,5,4,4,7,9,7,8,16
2002-01114-1 Sugartree Branch (westridge 2),HAV3,spring,2,107,6,4,16,8,16,16,7,2,7,4,8,4,9,9,12,13
2003-01379 1st ULT Sugartree Branch,HAV8,spring,2,107,12,7,9,8,17,16,6,2,6,3,6,6,9,8,9,15
2004-00844 Lukey Fork,hav5,spring,5,100,10,11,10,5,16,15,8,2,3,5,6,4,5,5,11,9
2004-00844 Lukey Fork,hav5,fall,5,94,6,11,10,5,16,15,8,2,3,5,6,2,5,5,11,7
2004-00844 Lukey Fork,hav2,fall,4,115,12,9,11,8,15,15,8,2,4,7,6,9,9,6,13,18
2004-00844 Lukey Fork,hav5,fall,4,100,10,10,10,6,15,15,8,2,4,5,6,4,5,6,11,9
2006-00324 Left Fork of White Oak Creek,PTF 7,,4,95,7,5,9,5,16,5,18,2,6,4,9,0,9,8,13,9
2007-421-KAN Spicelick Fork,SL-1,,3,118,16,13,12,13,13,12,14,2,5,2,6,8,2,7,8,10
unknown1-ICGOBrien Birch River,IP 8,pre-existing,0,112,13,12,11,7,19,10,13,2,8,5,4,6,2,10,9,8
2002-01114-1 Sugartree Branch (westridge 2),HAV2,spring,2,68,3,6,4,2,3,11,6,3,7,4,8,2,9,10,12,11
2003-01379 1st ULT Sugartree Branch,HAV8,fall,3,107,13,8,10,7,11,15,8,3,6,6,7,5,8,9,13,13
2003-01379 1st ULT Sugartree Branch,HAV8,spring,4,113,14,8,10,8,15,15,8,3,6,6,7,5,8,9,13,13
2004-00844 Lukey Fork,hav2,spring,5,115,12,10,11,8,14,15,8,3,3,7,6,9,9,6,13,18
2004-00844 Lukey Fork,hav2,fall,5,118,11,9,11,10,16,15,8,3,3,7,7,9,9,6,14,18
2005-00162 Carrow Fork,CF 1,,3,121,13,10,12,11,13,16,14,3,5,4,6,4,10,8,10,14
unknown1-ICGOBrien Birch River,IP 4,pre-existing,0,130,16,19,10,15,15,16,10,3,6,5,8,2,7,9,13,9
unknown8-KeystoneRush UT Rush Creek,M2,,2,125,14,15,15,13,15,10,14,3,5,4,6,8,3,8,10,11
1997-00093 Clear water ditch 2,,,2,80,9,9,3,7,15,9,2,4,8,4,8,1,1,12,12,2
2001-01307 Stream C,C-3,as-built,0,92,4,11,6,11,0,11,15,4,4,5,5,7,9,8,10,16
2001-01307 Stream C,C-7,as-built,0,72,2,9,6,10,0,8,6,4,4,5,5,7,6,8,10,13
2002-00264 Horsepen Creek,,,5,117,11,15,12,14,11,9,11,4,7,5,6,3,9,11,11,12
2002-01114-1 Sugartree Branch (westridge 2),HAV1,spring,3,110,13,6,5,10,16,16,6,4,7,5,6,7,9,11,11,16
2002-01114-1 Sugartree Branch (westridge 2),HAV1,spring,4,110,13,6,5,10,16,16,6,4,7,5,6,7,9,11,11,16
2003-01379 1st ULT Sugartree Branch,HAV2,spring,2,130,14,10,12,14,11,16,10,4,7,6,9,10,7,11,15,17
2003-01379 1st ULT Sugartree Branch,HAV9,spring,2,106,13,10,11,6,8,13,7,4,4,7,5,9,9,8,12,18
2003-01379 1st ULT Sugartree Branch,HAV8,spring,3,115,13,8,11,8,15,16,8,4,5,7,7,5,8,9,14,13
2004-00215 Lick Fork,,,5,100,11,10,12,11,11,12,12,4,5,3,4,3,2,9,7,5
2004-00864 Upper Grapevine Creek,,,5,92,9,11,10,9,9,10,12,4,5,4,4,3,2,9,8,5
2005-01101 Reach C,,,1,66,8,6,3,5,6,7,19,4,4,1,1,1,1,8,2,2
unknown8-KeystoneRush UT Rush Creek,M2,,3,106,12,8,12,9,12,10,13,4,5,6,4,3,8,9,10,11
1997-00093 Clear Water ditch 1,,,2,86,9,9,2,10,14,9,3,5,9,5,9,1,1,14,14,2
1999-759-2 and -3 conveyance ditch 1 site B 15-004 UT of Beech Branch,,,5,118,12,13,14,11,12,10,11,5,5,6,5,7,7,10,11,14
1999-759-2 and -3 conveyance ditch 2 site B 16-003 Beech Branch,,,5,113,13,12,14,11,10,11,9,5,5,4,5,7,7,10,9,14
2001-01307 Stream B,B-4,as-built,0,87,3,9,6,11,0,8,15,5,4,6,4,7,9,9,10,16
2001-01307 Stream B,B-4,,1,88,2,9,6,10,0,6,14,5,5,6,6,9,10,10,12,19
2001-01307 Stream C,C-4,as-built,0,91,3,10,6,11,0,12,15,5,5,4,4,9,7,10,8,16
2001-01307 Stream C,C-6,as-built,0,89,4,10,6,11,1,10,10,5,4,6,6,7,9,9,12,16
2001-01307 Stream C,C-3,,1,91,3,11,6,10,0,11,14,5,5,5,5,7,9,10,10,16
2001-01307 Stream C,C-4,,1,88,2,9,6,10,0,10,15,5,5,5,5,9,7,10,10,16
2001-01307 Stream C,C-7,,1,81,1,7,6,9,0,8,6,5,5,8,8,9,9,10,16,18
2001-01307 Stream C,C-4,,2,95,4,9,5,10,2,10,15,5,5,7,7,9,7,10,14,16
2001-01307 Stream D,D-1,as-built,0,82,3,6,5,11,5,7,5,5,5,6,6,9,9,10,12,18
2002-00264 Coal Hollow,,,1,105,11,11,9,16,9,8,11,5,5,5,5,5,5,10,10,10
2002-00264 Horsepen Creek,,,6,147,14,16,15,18,16,12,16,5,8,5,9,4,9,13,14,13
