description,name,geometry
,Laurel Branch,"<Point><coordinates>-82.203407,37.013611,0.0</coordinates></Point>"
,Mary Fork UTMF 10,"<Point><coordinates>-81.631964,38.209367,0.0</coordinates></Point>"
,Preacher Fork main stem,"<Point><coordinates>-83.326363,37.130231,0.0</coordinates></Point>"
,Preacher Fork,"<Point><coordinates>-83.325544,37.128697,0.0</coordinates></Point>"
,Sugarcamp restored B channel,"<Point><coordinates>-83.235311,37.384427,0.0</coordinates></Point>"
,Sugarcamp restored B channel,"<Point><coordinates>-83.236532,37.384064,0.0</coordinates></Point>"
,UT Rockhouse 2,"<Point><coordinates>-83.2651,37.38482,0.0</coordinates></Point>"
,UT Rockhouse 1,"<Point><coordinates>-83.2692,37.38752,0.0</coordinates></Point>"
,Walnut Fork upstream of Culvert bridge,"<Point><coordinates>-82.516707,37.784905,0.0</coordinates></Point>"
,Pegs Branch at Pond 165,"<Point><coordinates>-82.503,37.784,0.0</coordinates></Point>"
,Lick Fork,"<Point><coordinates>-82.114167,37.582778,0.0</coordinates></Point>"
,Grapevine Creek,"<Point><coordinates>-82.119854,37.578881,0.0</coordinates></Point>"
,Streams ABC,"<Point><coordinates>-83.530817,36.775709,0.0</coordinates></Point>"
,Segment B,"<Point><coordinates>-83.530454,36.774889,0.0</coordinates></Point>"
,Segment A,"<Point><coordinates>-83.530858,36.774942,0.0</coordinates></Point>"
,UTRPC 1 Upper,"<Point><coordinates>-82.172778,37.240556,0.0</coordinates></Point>"
,UTRPC 1 Lower,"<Point><coordinates>-82.173056,37.240278,0.0</coordinates></Point>"
,Paramont - Left Fork,"<Point><coordinates>-82.145839,37.060203,0.0</coordinates></Point>"
,UTRPC 2,"<Point><coordinates>-82.18,37.23,0.0</coordinates></Point>"
,Horse Fork,"<Point><coordinates>-83.196285,36.989149,0.0</coordinates></Point>"
,Left Fork Cow Creek,"<Point><coordinates>-82.040122,37.714663,0.0</coordinates></Point>"
,Keystone - Rush Creek M1,"<Point><coordinates>-81.584873,38.257708,0.0</coordinates></Point>"
,Falcon - Frasure Creek,"<Point><coordinates>-81.645367,37.944779,0.0</coordinates></Point>"
,UT Left Fork of White Oak Creek,"<Point><coordinates>-81.510716,38.058854,0.0</coordinates></Point>"
,Left Fork White Oak Creek,"<Point><coordinates>-81.525097,38.051334,0.0</coordinates></Point>"
,Pond Fork2 PF 10-1,"<Point><coordinates>-81.63472,37.835718,0.0</coordinates></Point>"
,Pond Fork PF1,"<Point><coordinates>-81.636607,37.865351,0.0</coordinates></Point>"
,Sugarcamp Branch,"<Point><coordinates>-83.237615,37.383821,0.0</coordinates></Point>"
,RPC 1,"<Point><coordinates>-82.166389,37.238333,0.0</coordinates></Point>"
,Upper Grapevine Creek,"<Point><coordinates>-82.104706,37.574787,0.0</coordinates></Point>"
,Hobet - Lukey Fork (Reach C),"<Point><coordinates>-81.953784,38.060603,0.0</coordinates></Point>"
,Bull Creek - Benthic site 1,"<Point><coordinates>-81.719558,38.200145,0.0</coordinates></Point>"
,Right Fork Daniels Creek,"<Point><coordinates>-82.651667,37.731389,0.0</coordinates></Point>"
,Brushy Fork,"<Point><coordinates>-82.665508,37.773258,0.0</coordinates></Point>"
,Coal Mac - Loggy Branch,"<Point><coordinates>-82.110831,37.732164,0.0</coordinates></Point>"
,ULT Sugartree Branch,"<Point><coordinates>-81.954503,38.091839,0.0</coordinates></Point>"
,1st ULT Sugartree Branch,"<Point><coordinates>-81.949971,38.095356,0.0</coordinates></Point>"
,Sugartree Branch,"<Point><coordinates>-81.95317,38.091099,0.0</coordinates></Point>"
,Horsepen Creek,"<Point><coordinates>-81.917918,37.634718,0.0</coordinates></Point>"
,Gilbert Creek benthic site 1,"<Point><coordinates>-81.917155,37.605697,0.0</coordinates></Point>"
,Evans Ferrell Branch,"<Point><coordinates>-82.168733,37.677547,0.0</coordinates></Point>"
,Premium - Adams Fork,"<Point><coordinates>-81.917417,37.606318,0.0</coordinates></Point>"
