USACE_permit,PC_category,PC_long,PC_type,notes
1997-00093,biological,report benthic survey,report,
1997-00093,riparian,approved width of riparian zone planted with minimum 50 stems per acre surviving,minimum standard,
1997-00093,riparian,riparian zone with a variety of species alive and healthy,minimum standard,
1997-00093,stream morphology,"banks stable (Bank Erosion Index; observe density and depth of plant roots, near bank shear stress)",minimum standard,
1997-00093,stream morphology,channel alteration: maintain minimal channelization in accordance with as-built (cross sections),minimum standard,
1997-00093,stream morphology,channel flow status: maintain width/depth ratio in accordance with as-built (cross sections),minimum standard,
1997-00093,stream morphology,frequency of riffles: maintain step-pool or riffle-pool sequences in accordance with as-built (longitudinal profile),minimum standard,
1997-00093,stream morphology,little or no enlargement of islands or point bars and less than 5% of the bottom affected by sediment deposition (pebble count in pools),minimum standard,
1997-00093,stream morphology,minimum 20% embeddedness (pebble count),minimum standard,
1997-00093,stream morphology,minimum 70% favorable epifaunal substrate (pebble count),minimum standard,
1997-00093,stream morphology,velocity and depth regime: maintain step-pool or riffle pool sequences in accordance with as-built (longitudinal profile),minimum standard,
1997-00093,water quality,report dissolved oxygen,report,
1997-00093,water quality,report field pH,report,
1997-00093,water quality,report specific conductance,report,
1999-759-2 and -3,biological,"benthic macroinvertebrate populations will be monitored until the project is determined successful by the Corp; benthic analysis will help assess the overall health of the restored stream however benthic populations, including the presence of certain species, will not be used for the gauge of success since barriers in the form of railroads, highways and poor water quality may prevent migration of certain species",report,
1999-759-2 and -3,riparian,native species established on at least 80% of the mitigation sites; success determined by visual analyses and inventory of the site,minimum standard,qualitative
1999-759-2 and -3,stream morphology,morphology will be visually examined to determine if erosion is controlled; project will be considered successful is the stream and structures installed are stable both laterally and vertically,minimum standard,
1999-759-2 and -3,stream morphology,plan will be deemed successful if the structures are constructed in the approximate location proposed in the pre-plans; structures should have a vertical tolerance of plus or minus 1 foot,minimum standard,
2000-00413-4,biological,fish and other aquatic organisms within 15% of reference stream after 3 years or 200% improvement over initial measurement after 3 years,meet reference,
2000-00413-4,biological,macroinvertebrate density within 15% of reference stream after 3 years or 200% improvement over initial measurement after 3 years,meet reference,
2000-00413-4,biological,macroinvertebrate taxa richness within 15% of reference stream after 3 years or 200% improvement over initial measurement after 3 years,meet reference,
2000-00413-4,EIU score,increase ecological integrity units,improve,
2000-00413-4,riparian,plant diversity no single species constitutes more than 25% of surviving species,minimum standard,
2000-00413-4,riparian,stream cover and shading 450 trees or shrubs per acre for at least 2 growing seasons,minimum standard,
2000-00413-4,riparian,vegetation density 80% maintenance free and standing after 5 years,minimum standard,
2000-00413-4,stream morphology,bank condition 85% in-place after 2 years maintenance free,minimum standard,
2000-00413-4,stream morphology,bank slope 85% in-place after 2 years maintance free,minimum standard,
2000-00413-4,stream morphology,channel depth within 15% of restored depth after 2 years of maintenance free,minimum standard,
2000-00413-4,stream morphology,channel width within 15% of restored width after 2 years of maintenance free,minimum standard,
2000-00413-4,stream morphology,riffle and pool complexes functioning after 2 years,minimum standard,
2000-00413-4,stream morphology,substrate 85% in-place after 2 years maintenance free,minimum standard,
2000-00413-4,stream morphology,water depth within 15% of retored depth after 2 years of maintenance free,minimum standard,
2000-00413-4,water quality,conductivity within range to support tolerant macroinvertebrates,minimum standard,
2000-00413-4,water quality,dissolved oxygen within range to support tolerant macroinvertebrates,minimum standard,
2000-00413-4,water quality,pH within range to support tolerant macroinvertebrates,minimum standard,
2000-00413-4,water quality,temperature within 15% of restored width after 2 years of maintenance free,minimum standard,seems like an error
2000-00413-4,water quality,turbidity within 10% of initial readings ,minimum standard,
2000-01161,biological,GOAL: show improvement in macroinvertebrate communities,improve,a goal of the project
2000-01161,habitat quality,GOAL: show improvement in RBP scores,improve,a goal of the project
2000-01161,riparian,the success criterion for planted woody specimens is 300 stems per acre or 741 stems per hectare,minimum standard,
2000-01161,riparian,the success criterion for vegetative cover is 85%,minimum standard,
2000-01161,stream morphology,qualitative observable evidence of stability,improve,
2000-01161,stream morphology,quantitative detectable and substantial deviation from prior conditions,improve,
