mittID,permit_year,permit_year_detail,site,Conductivity_uScm,Lab_Se_mgL,Lab_Se_ugL,Lab_SO4,pH,Flow_gpm,Flow_cfs,TSS_mgL,TDS_ppm,Lab_TDS_mgL,Temp_C,Temp_F,DO_mgL,Lab_Sb_mgL,Lab_As_mgL,Lab_Be_mgL,Lab_Cd_mgL,Lab_Ca_mgL,Lab_Cr_mgL,Lab_Cu_mgL,Lab_Fe-d_mgL,Lab_HARD_mgL,Lab_Pb_mgL,Lab_Mn-d_mgL,Lab_Mg_mgL,Lab_Hg_mgL,Lab_Ni_mgL,Lab_K_mgL,Lab_Se_mgL,Lab_Ag_mgL,Lab_Na_mgL,Lab_Tl_mgL,Lab_Zn_mgL,Lab_Al-d_mgL,Lab_Al_mgL,Lab_Fe_mgL,Lab_Mn_mgL,Acidity,Alkalinity,Lab_Cl_mgL,Lab_CrVI_mgL,Lab_NO3_mgL,Lab_NO2_mgL,Lab_P_mgL,Turbidity_NTU
unknown4-Frasure West Fork of Pond Fork,1,,from the NPDES outlet water quality,73400,,,,8.4,62.7,,10,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,276,,,,,,
unknown4-Frasure West Fork of Pond Fork,2,,from the NPDES outlet water quality,1053.84,,,,8.7,,,6,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,570,,,,,,
unknown4-Frasure West Fork of Pond Fork,3,,from the NPDES outlet water quality,1495.09,,,,8,11.34,,6,941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,446,,,,,,
unknown8-KeystoneRush UT Rush Creek,0,"AB, Fall",M1,310,1.9,0,114,5.8,942.9,,2,,212,,38,14,0,0,0,0,24.7,0,0,0.04,140,0,0.64,19.3,0,0.02,3.92,0,0,4.89,0,0.02,0,,,,,,,,,,,
unknown8-KeystoneRush UT Rush Creek,0,"AB, Fall",M2,290,0.8,0,160,6.2,1616.4,,1,,292,,36,12.3,0,0,0,0,43.7,0,0,0.25,208,0,0.59,24.1,0,0.01,3.19,0,0,6.69,0,0.01,0,,,,,,,,,,,
unknown8-KeystoneRush UT Rush Creek,1,Fall,M1,230,,0,84,6.9,750,,1,150,107,,39,12.1,0,0,0,0,19.4,0,0,0.04,105,0,0.07,13.7,0,0,3.06,0,0,4,0,0.01,0.1,,0.36,0.12,,,2,,0.88,0,,
unknown8-KeystoneRush UT Rush Creek,1,Fall,M2,350,,0,113,7.3,1212.3,,1,230,176,,39,12.5,0,0,0,0,35.6,0,0,0.23,175,0,0.38,20.9,0,0.01,3.01,0,0,4.95,0,0.01,0,,0.55,0.46,,,5,,0.59,0,,
unknown8-KeystoneRush UT Rush Creek,2,Fall,M1,489,4.9,0,209,6.8,367.7,,1,350,336,,41,10.1,0,0,0,0,33.8,0,0,0,233,0,0,36.1,0,0.01,4.47,0,0,12,0,0.01,0,,0.29,0.59,,,2.6,,1.46,0.02,,
unknown8-KeystoneRush UT Rush Creek,2,Fall,M2,378,5.6,0.01,149,6.8,1220.7,,2,260,239,,42,10.2,0,0,0,0,26,0,0,0.04,170,0.01,0.5,25.5,0,0.01,3.07,0.01,0,7.15,0,0.01,0,,0.27,0.51,,,4.5,,0.82,0.01,,
unknown8-KeystoneRush UT Rush Creek,3,Fall,M1,1170,7,0.01,603,7.8,231.5,,0,,933,,35,9.3,0,0,0,0,98.1,,0,0,587,0,0.14,83.1,0,0.01,7.7,0.01,0,62.5,0,0,0,,,,0,56.5,9,0,,,0,
unknown8-KeystoneRush UT Rush Creek,3,Fall,M2,1170,3,0,547,7.5,565.7,,0,,870,,35,8.9,0,0,0,0,114,,0,0,607,0,0.78,78.3,0,0.01,5.4,0,0,30.7,0,0,0,,,,0,75.9,13,0,,,0,
